No,SN Mesin,SN Kaset,Tipe Kaset,SN Kaset Cadangan,Tipe Kaset,SO-ID ,Status ,Tanggal kirim ,Tanggal perbaikan ,Hasil perbaikan ,Kategori Problem 
1,74UEA43N03-069520,76UWAB2SW754319,AB,76UWAB2SW751779,AB,,,,,,
2,74UEA43N03-069520,76UWRB2SB894550,RB,76UWRB2SB885798,RB,,,,,,
3,74UEA43N03-069520,76UWRB2SB894551,RB,76UWRB2SB885799,RB,,,,,,
4,74UEA43N03-069520,76UWRB2SB894516,RB,76UWRB2SB885817,RB,,,,,,
5,74UEA43N03-069520,76UWRB2SB894546,RB,76UWRB2SB885807,RB,,,,,,
6,74UEA43N03-069533,76UWAB2SW754073,AB,76UWAB2SW751808,AB,,,,,,
7,74UEA43N03-069533,76UWRB2SB893983,RB,76UWRB2SB885763,RB,,,,,,
8,74UEA43N03-069533,76UWRB2SB893957,RB,76UWRB2SB885693,RB,,,,,,
9,74UEA43N03-069533,76UWRB2SB893935,RB,76UWRB2SB885757,RB,,,,,,
10,74UEA43N03-069533,76UWRB2SB893916,RB,76UWRB2SB885758,RB,,,,,,
11,74UEA43N03-069579,76UWAB2SW754307,AB,76UWAB2SW751795,AB,,,,,,
12,74UEA43N03-069579,76UWRB2SB894624,RB,76UWRB2SB886461,RB,,,,,,
13,74UEA43N03-069579,76UWRB2SB894623,RB,76UWRB2SB886427,RB,,,,,,
14,74UEA43N03-069579,76UWRB2SB894589,RB,76UWRB2SB886360,RB,,,,,,
15,74UEA43N03-069579,76UWRB2SB894642,RB,76UWRB2SB886468,RB,,,,,,
16,74UEA43N03-069472,76UWAB2SW754236,AB,76UWAB2SW751806,AB,,,,,,
17,74UEA43N03-069472,76UWRB2SB893487,RB,76UWRB2SB886349,RB,,,,,,
18,74UEA43N03-069472,76UWRB2SB893495,RB,76UWRB2SB886463,RB,,,,,,
19,74UEA43N03-069472,76UWRB2SB893438,RB,76UWRB2SB886357,RB,,,,,,
20,74UEA43N03-069472,76UWRB2SB893437,RB,76UWRB2SB886370,RB,,,,,,
21,74UEA43N03-069439,76UWAB2SW754224,AB,76UWAB2SW751771,AB,,,,,,
22,74UEA43N03-069439,76UWRB2SB893448,RB,76UWRB2SB885762,RB,,,,,,
23,74UEA43N03-069439,76UWRB2SB893306,RB,76UWRB2SB885735,RB,,,,,,
24,74UEA43N03-069439,76UWRB2SB893416,RB,76UWRB2SB885458,RB,,,,,,
25,74UEA43N03-069439,76UWRB2SB893451,RB,76UWRB2SB885759,RB,,,,,,
26,74UEA43N03-069549,76UWAB2SW754348,AB,76UWAB2SW751794,AB,,,,,,
27,74UEA43N03-069549,76UWRB2SB894099,RB,76UWRB2SB885809,RB,,,,,,
28,74UEA43N03-069549,76UWRB2SB894112,RB,76UWRB2SB885814,RB,,,,,,
